clip_id,audio_path,composer,work,movement,performer,source,rights,period,genre,ensemble,instrument,family,clip_type,potential_skill_codes,question_count,metadata_confidence
CLIP-3C4FCDB588CA,audio/piano/Cs3.mp3 | audio/piano/Gs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,6,high
CLIP-3C7878B63AF9,modules/instrument-identifier/audio/II044.mp3,,Cello Sonata - 3 Finale,,,MusOpen,PD,,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-3CC8E09A2CA9,modules/melody-master/audio/melodic-devices/MDA015.mp3,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",III. Allegro giocoso,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Romantic,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-3CD1AABF08E3,modules/instrument-identifier/audio/II229.mp3,,2 Siciliano Rondeau Arr.,,,MusOpen,PD,,,Solo,TRUMPET,Brass,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3D32DE59AFED,modules/melody-master/audio/melodic-devices/MDA008.mp3,Beethoven,"Symphony no. 6 in F major, Op. 68 'Pastoral'",II. Andante molto mosso,European Archive,Existing EchoAural Melody Master,PDM 1.0,Classical/Romantic transition,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-3DF3A674EC78,audio/piano/G3.mp3 | audio/piano/E3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,12,high
CLIP-3E4F16754582,modules/texture-trainer/audio/TT043.mp3,,"G. F. Handel — Messiah, HWV 56 — 37. The Lord Gave the Word",,MIT Concert Choir; directed by William C. Cutter,https://commons.wikimedia.org/wiki/File:Handel_-_messiah_-_37_the_lord_gave_the_word.ogg,CC BY-SA 2.0,,,,,,Thin texture → full choral texture,TEX.TYPE,1,medium
CLIP-3E7A1A5AD123,modules/meter-master/audio/MTR003.mp3,,,,,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,,,,,,,Aural classification,RHY.METRE,2,high
CLIP-3E816ACAF811,modules/instrument-identifier/audio/II230.mp3,,2 Siciliano Rondeau Arr.,,,MusOpen,PD,,,Solo,TRUMPET,Brass,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3EAB9ED166F6,modules/instrument-identifier/audio/II028.mp3,,Sarabande,,,MusOpen,PD,,,Solo,VIOLIN,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3EAD4854A69E,modules/instrument-identifier/audio/II208.mp3,,Allegro - Rondeau,,,MusOpen,PD,,,Solo,TRUMPET,Brass,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-3EE7AA59E4B0,modules/instrument-identifier/audio/II074.mp3,Bach,Cello Suite No.3 (1),,,MusOpen,PD,Baroque,Suite,Solo,CELLO,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-3EFA80723BD7,modules/instrument-identifier/audio/II078.mp3,Chopin,Cello Sonata Op.65 (1),,,MusOpen,PD,Romantic,Sonata,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-3F73207F8391,audio/piano/Ds4.mp3 | audio/piano/Ds4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect unison,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,18,high
CLIP-3F823C7CC92C,audio/piano/Ds3.mp3 | audio/piano/Gs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,6,high
CLIP-3FBF373E58E8,modules/texture-trainer/audio/TT054.mp3,,"L. van Beethoven — Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’ — IV. Finale",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Polyphonic texture,TEX.TYPE,1,high
CLIP-4005AEB24617,audio/piano/E3.mp3 | audio/piano/C3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-40174255572C,audio/piano/As3.mp3 | audio/piano/Cs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,2,high
CLIP-406258F99D41,audio/piano/C4.mp3 | audio/piano/As3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,10,high
CLIP-408AF91DE1FD,modules/texture-trainer/audio/TT132.mp3,,William Byrd — Mass for Four Voices – Credo,,Ensemble Morales,https://commons.wikimedia.org/wiki/File:Byrd_4-Part_Mass_-_Credo.ogg,CC BY 3.0,,Sacred choral,,,,Advanced polyphonic,TEX.TYPE,1,high
